OBJECTID,pointid,grid_code,PR_mean,ETP_mean,Balance_me,stress_probability
3662,3662,1.0000000,502.8399353,899.1191406,-396.2792053,1.0000000
3663,3663,0.9538460,545.4041748,836.0829468,-290.6787720,0.9538462
3664,3664,0.8153850,610.1210327,750.5192871,-140.3983154,0.8153846
3665,3665,0.7846150,615.7538452,730.1318359,-114.3780212,0.7846154
3666,3666,0.9692310,521.8264771,820.3683472,-298.5418701,0.9692308
3667,3667,1.0000000,476.1642761,884.6042480,-408.4399719,1.0000000
3668,3668,1.0000000,458.5051270,913.3715820,-454.8664551,1.0000000
3669,3669,1.0000000,453.5500793,922.8591919,-469.3091125,1.0000000
3670,3670,1.0000000,428.6106262,950.4162598,-521.8056030,1.0000000
3671,3671,1.0000000,401.7662354,973.8401489,-572.0739136,1.0000000
3672,3672,1.0000000,370.3205872,1001.3472290,-631.0266113,1.0000000
3673,3673,1.0000000,349.4850159,1023.7954712,-674.3104858,1.0000000
3674,3674,1.0000000,341.6871033,1032.8427734,-691.1556396,1.0000000
3675,3675,1.0000000,358.3025818,1005.3711548,-647.0685425,1.0000000
3676,3676,1.0000000,423.2523804,924.3633423,-501.1109619,1.0000000
3677,3677,1.0000000,374.6616821,984.1868896,-609.5252075,1.0000000
3678,3678,1.0000000,319.1886902,1104.1022949,-784.9136353,1.0000000
3679,3679,1.0000000,303.7659912,1131.5786133,-827.8126221,1.0000000
3680,3680,1.0000000,315.6677246,1084.2520752,-768.5844116,1.0000000
3681,3681,1.0000000,356.2523193,990.2814941,-634.0291748,1.0000000
3682,3682,1.0000000,421.2833557,859.2257080,-437.9423523,1.0000000
3683,3683,0.9846150,477.5733643,768.1272583,-290.5538635,0.9846154
3684,3684,0.9384620,519.3674316,711.5222168,-192.1547852,0.9384615
3685,3685,0.9692310,497.5917358,726.3207397,-228.7290192,0.9692308
3686,3686,0.9846150,477.3615417,743.3969727,-266.0354309,0.9846154
3687,3687,1.0000000,463.5693359,756.6852417,-293.1159058,1.0000000
3688,3688,1.0000000,440.5182190,789.0241699,-348.5059509,1.0000000
3689,3689,1.0000000,398.1481018,842.8365479,-444.6884766,1.0000000
3690,3690,1.0000000,366.8930969,891.3980103,-524.5048828,1.0000000
3691,3691,1.0000000,174.3163605,754.5082397,-580.1918945,1.0000000
3692,3692,1.0000000,166.2281799,777.0320435,-610.8038940,1.0000000
3693,3693,1.0000000,164.2025909,785.7633057,-621.5607300,1.0000000
3694,3694,1.0000000,163.9165955,790.4793091,-626.5627441,1.0000000
3695,3695,1.0000000,164.7968597,796.5570679,-631.7601929,1.0000000
3696,3696,1.0000000,168.1112518,796.9184570,-628.8071899,1.0000000
3697,3697,1.0000000,163.8688660,810.1057129,-646.2368774,1.0000000
3698,3698,1.0000000,158.5252228,832.1915283,-673.6662598,1.0000000
3699,3699,1.0000000,158.7717285,838.2774048,-679.5056763,1.0000000
3700,3700,1.0000000,159.1996613,840.5186157,-681.3189697,1.0000000
